K1,K2,GROUP,CPUD,INTCD,TIMERD,SERIALD,SUMD
at91,sam9x,0-2,0,0,0,0,0
at91,sam9x,0-3,0,0,0,0,0
at91,sam9x,0-4,0,0,0,0,0
at91,sam9x,0-5,0,0,0,0,0
at91,sam9x,0-6,0,0,0,0,0
at91,sam9x,0-7,0,0,0,0,0
at91,sam9x,0-8,0,0,0,0,0
at91,sam9x,0-9,0,0,0,0,0
at91,sam9x,0-10,0,0,0,0,0
at91,sam9x,0-11,0,0,0,0,0
at91,sam9x,0-12,0,0,0,0,0
at91,sam9x,0-13,0,0,0,0,0
at91,sam9x,0-14,0,0,0,0,0
at91,sam9x,0-15,0,0,0,0,0
at91,sam9x,0-16,0,0,0,0,0
at91,sam9x,0-17,0,0,0,0,0
at91,sam9x,0-18,0,0,0,0,0
at91,sam9x,0-19,1,0,1,0,2
at91,sam9x,0-20,0,0,0,0,0
at91,sam9x,0-21,0,0,0,0,0
at91,sam9x,0-22,0,0,0,0,0
at91,sam9x,0-23,0,0,0,0,0
at91,sam9x,0-24,0,0,0,0,0
at91,sam9x,0-25,0,0,0,0,0
at91,sam9x,0-26,0,0,0,0,0
at91,sam9x,0-27,0,0,0,0,0
at91,sam9x,0-28,0,0,0,0,0
at91,sam9x,0-29,0,0,0,0,0
at91,sam9x,0-30,0,0,0,0,0
at91,sam9x,0-31,0,0,0,0,0
at91,sam9x,0-32,0,0,0,0,0
at91,sam9x,0-33,0,0,0,0,0
at91,sam9x,0-34,0,0,0,0,0
at91,sam9x,0-35,0,0,0,0,0
at91,sam9x,0-36,1,0,1,0,2
at91,sam9x,0-37,0,0,0,0,0
at91,sam9x,0-38,0,0,0,0,0
at91,sam9x,0-39,0,0,0,0,0
at91,sam9x,0-40,0,0,0,0,0
at91,sam9x,0-41,0,0,0,0,0
at91,sam9x,0-42,0,0,0,0,0
at91,sam9x,0-43,0,0,0,0,0
at91,sam9x,0-44,0,0,0,0,0
at91,sam9x,0-45,0,0,0,0,0
at91,sam9x,0-46,0,0,0,0,0
at91,sam9x,0-47,0,0,0,0,0
at91,sam9x,0-48,0,0,0,0,0
at91,sam9x,0-49,0,0,0,0,0
at91,sam9x,0-50,0,0,0,0,0
at91,sam9x,0-51,0,0,0,0,0
at91,sam9x,0-52,0,0,0,0,0
at91,sam9x,0-53,0,0,0,0,0
at91,sam9x,0-54,0,0,0,0,0
at91,sam9x,0-55,0,0,0,0,0
at91,sam9x,1-0,0,0,0,0,0
at91,sam9x,1-1,0,0,0,0,0
at91,sam9x,1-2,0,0,0,0,0
at91,sam9x,1-3,0,0,0,0,0
at91,sam9x,1-4,0,0,0,0,0
at91,sam9x,1-5,0,0,0,0,0
at91,sam9x,1-6,0,0,0,0,0
at91,sam9x,1-7,0,0,0,0,0
at91,sam9x,1-8,0,0,0,0,0
at91,sam9x,1-9,0,0,0,0,0
at91,sam9x,1-10,0,0,0,0,0
at91,sam9x,1-11,0,0,0,0,0
at91,sam9x,1-12,0,0,0,0,0
at91,sam9x,1-13,0,0,0,0,0
at91,sam9x,1-14,0,0,0,0,0
at91,sam9x,1-15,0,0,0,0,0
at91,sam9x,1-16,0,0,0,0,0
at91,sam9x,1-17,0,0,0,0,0
at91,sam9x,1-18,0,0,0,0,0
at91,sam9x,1-19,1,0,1,0,2
at91,sam9x,1-20,0,0,0,0,0
at91,sam9x,1-21,0,0,0,0,0
at91,sam9x,1-22,0,0,0,0,0
at91,sam9x,1-23,0,0,0,0,0
at91,sam9x,1-24,0,0,0,0,0
at91,sam9x,1-25,0,0,0,0,0
at91,sam9x,1-26,0,0,0,0,0
at91,sam9x,1-27,0,0,0,0,0
at91,sam9x,1-28,0,0,0,0,0
at91,sam9x,1-29,0,0,0,0,0
at91,sam9x,1-30,0,0,0,0,0
at91,sam9x,1-31,0,0,0,0,0
at91,sam9x,1-32,0,0,0,0,0
at91,sam9x,1-33,0,0,0,0,0
at91,sam9x,1-34,0,0,0,0,0
at91,sam9x,1-35,0,0,0,0,0
at91,sam9x,1-36,1,0,1,0,2
at91,sam9x,1-37,0,0,0,0,0
at91,sam9x,1-38,0,0,0,0,0
at91,sam9x,1-39,0,0,0,0,0
at91,sam9x,1-40,0,0,0,0,0
at91,sam9x,1-41,0,0,0,0,0
at91,sam9x,1-42,0,0,0,0,0
at91,sam9x,1-43,0,0,0,0,0
at91,sam9x,1-44,0,0,0,0,0
at91,sam9x,1-45,0,0,0,0,0
at91,sam9x,1-46,0,0,0,0,0
at91,sam9x,1-47,0,0,0,0,0
at91,sam9x,1-48,0,0,0,0,0
at91,sam9x,1-49,0,0,0,0,0
at91,sam9x,1-50,0,0,0,0,0
at91,sam9x,1-51,0,0,0,0,0
at91,sam9x,1-52,0,0,0,0,0
at91,sam9x,1-53,0,0,0,0,0
at91,sam9x,1-54,0,0,0,0,0
at91,sam9x,1-55,0,0,0,0,0
at91,sam9x,2-0,0,0,0,0,0
at91,sam9x,2-1,0,0,0,0,0
at91,sam9x,2-2,0,0,0,0,0
at91,sam9x,2-3,0,0,0,0,0
at91,sam9x,2-4,0,0,0,0,0
at91,sam9x,2-5,0,0,0,0,0
at91,sam9x,2-6,0,0,0,0,0
at91,sam9x,2-7,0,0,0,0,0
at91,sam9x,2-8,0,0,0,0,0
at91,sam9x,2-9,0,0,0,0,0
at91,sam9x,2-10,0,0,0,0,0
at91,sam9x,2-11,0,0,0,0,0
at91,sam9x,2-12,0,0,0,0,0
at91,sam9x,2-13,0,0,0,0,0
at91,sam9x,2-14,0,0,0,0,0
at91,sam9x,2-15,0,0,0,0,0
at91,sam9x,2-16,0,0,0,0,0
at91,sam9x,2-17,0,0,0,0,0
at91,sam9x,2-18,0,0,0,0,0
at91,sam9x,2-19,1,0,1,0,2
at91,sam9x,2-20,0,0,0,0,0
at91,sam9x,2-21,0,0,0,0,0
at91,sam9x,2-22,0,0,0,0,0
at91,sam9x,2-23,0,0,0,0,0
at91,sam9x,2-24,0,0,0,0,0
at91,sam9x,2-25,0,0,0,0,0
at91,sam9x,2-26,0,0,0,0,0
at91,sam9x,2-27,0,0,0,0,0
at91,sam9x,2-28,0,0,0,0,0
at91,sam9x,2-29,0,0,0,0,0
at91,sam9x,2-30,0,0,0,0,0
at91,sam9x,2-31,0,0,0,0,0
at91,sam9x,2-32,0,0,0,0,0
at91,sam9x,2-33,0,0,0,0,0
at91,sam9x,2-34,0,0,0,0,0
at91,sam9x,2-35,0,0,0,0,0
at91,sam9x,2-36,1,0,1,0,2
at91,sam9x,2-37,0,0,0,0,0
at91,sam9x,2-38,0,0,0,0,0
at91,sam9x,2-39,0,0,0,0,0
at91,sam9x,2-40,0,0,0,0,0
at91,sam9x,2-41,0,0,0,0,0
at91,sam9x,2-42,0,0,0,0,0
at91,sam9x,2-43,0,0,0,0,0
at91,sam9x,2-44,0,0,0,0,0
at91,sam9x,2-45,0,0,0,0,0
at91,sam9x,2-46,0,0,0,0,0
at91,sam9x,2-47,0,0,0,0,0
at91,sam9x,2-48,0,0,0,0,0
at91,sam9x,2-49,0,0,0,0,0
at91,sam9x,2-50,0,0,0,0,0
at91,sam9x,2-51,0,0,0,0,0
at91,sam9x,2-52,0,0,0,0,0
at91,sam9x,2-53,0,0,0,0,0
at91,sam9x,2-54,0,0,0,0,0
at91,sam9x,2-55,0,0,0,0,0
at91,sam9x,3-0,0,0,0,0,0
at91,sam9x,3-1,0,0,0,0,0
at91,sam9x,3-2,0,0,0,0,0
at91,sam9x,3-3,0,0,0,0,0
at91,sam9x,3-4,0,0,0,0,0
at91,sam9x,3-5,0,0,0,0,0
at91,sam9x,3-6,0,0,0,0,0
at91,sam9x,3-7,0,0,0,0,0
at91,sam9x,3-8,0,0,0,0,0
at91,sam9x,3-9,0,0,0,0,0
at91,sam9x,3-10,0,0,0,0,0
at91,sam9x,3-11,0,0,0,0,0
at91,sam9x,3-12,0,0,0,0,0
at91,sam9x,3-13,0,0,0,0,0
at91,sam9x,3-14,0,0,0,0,0
at91,sam9x,3-15,0,0,0,0,0
at91,sam9x,3-16,0,0,0,0,0
at91,sam9x,3-17,0,0,0,0,0
at91,sam9x,3-18,0,0,0,0,0
at91,sam9x,3-19,1,0,1,0,2
at91,sam9x,3-20,0,0,0,0,0
at91,sam9x,3-21,0,0,0,0,0
at91,sam9x,3-22,0,0,0,0,0
at91,sam9x,3-23,0,0,0,0,0
at91,sam9x,3-24,0,0,0,0,0
at91,sam9x,3-25,0,0,0,0,0
at91,sam9x,3-26,0,0,0,0,0
at91,sam9x,3-27,0,0,0,0,0
at91,sam9x,3-28,0,0,0,0,0
at91,sam9x,3-29,0,0,0,0,0
at91,sam9x,3-30,0,0,0,0,0
at91,sam9x,3-31,0,0,0,0,0
at91,sam9x,3-32,0,0,0,0,0
at91,sam9x,3-33,0,0,0,0,0
at91,sam9x,3-34,0,0,0,0,0
at91,sam9x,3-35,0,0,0,0,0
at91,sam9x,3-36,1,0,1,0,2
at91,sam9x,3-37,0,0,0,0,0
at91,sam9x,3-38,0,0,0,0,0
at91,sam9x,3-39,0,0,0,0,0
at91,sam9x,3-40,0,0,0,0,0
at91,sam9x,3-41,0,0,0,0,0
at91,sam9x,3-42,0,0,0,0,0
at91,sam9x,3-43,0,0,0,0,0
at91,sam9x,3-44,0,0,0,0,0
at91,sam9x,3-45,0,0,0,0,0
at91,sam9x,3-46,0,0,0,0,0
at91,sam9x,3-47,0,0,0,0,0
at91,sam9x,3-48,0,0,0,0,0
at91,sam9x,3-49,0,0,0,0,0
at91,sam9x,3-50,0,0,0,0,0
at91,sam9x,3-51,0,0,0,0,0
at91,sam9x,3-52,0,0,0,0,0
at91,sam9x,3-53,0,0,0,0,0
at91,sam9x,3-54,0,0,0,0,0
at91,sam9x,3-55,0,0,0,0,0
at91,sam9x,4-0,0,0,0,0,0
at91,sam9x,4-1,0,0,0,0,0
at91,sam9x,4-2,0,0,0,0,0
at91,sam9x,4-3,0,0,0,0,0
at91,sam9x,4-4,0,0,0,0,0
at91,sam9x,4-5,0,0,0,0,0
at91,sam9x,4-6,0,0,0,0,0
at91,sam9x,4-7,0,0,0,0,0
at91,sam9x,4-8,0,0,0,0,0
at91,sam9x,4-9,0,0,0,0,0
at91,sam9x,4-10,0,0,0,0,0
at91,sam9x,4-11,0,0,0,0,0
at91,sam9x,4-12,0,0,0,0,0
at91,sam9x,4-13,0,0,0,0,0
at91,sam9x,4-14,0,0,0,0,0
at91,sam9x,4-15,0,0,0,0,0
