SIZE,COUNT
3179349,1
3491319,1
3214319,1
3192262,1
3094042,1
3198641,1
3154689,1
3192199,1
3192294,1
3218200,2
3492333,1
3176567,1
3213014,1
3213151,2
3240147,1
3093687,1
3493718,1
3218446,1
3179104,1
1053392,1
3179299,1
3649092,2
3214039,1
3213487,1
3491937,1
3268783,3
3313836,8
3492326,1
3491722,1
3205996,2
3493875,1
3475448,1
3493765,1
3214043,1
3354789,1
3493786,1
3493965,1
3493884,1
3530212,1
2949124,1
3563788,1
3493843,1
3493514,1
3670204,9
3154751,1
3493877,2
3206011,1
3178366,1
3492614,1
3218558,1
3268774,1
3493810,1
3494071,1
3178122,1
3475122,1
3492035,1
3213055,1
3240146,1
3214295,1
3492132,1
3154626,1
3094058,1
3491314,1
3093969,1
3301428,2
3475510,1
3178202,1
3491707,1
3342504,7
3240244,1
3472100,1
3179473,1
3198921,1
3179109,1
3494019,1
3567791,2
3175702,1
3240130,1
3240251,3
3525123,1
3472752,1
3493573,1
3178159,1
3178040,1
3176049,1
3214425,1
3472696,2
3213104,1
3475415,1
3670278,12
3213130,1
3092246,1
3493653,2
3240165,1
3604658,7
3093856,1
3493942,1
3175975,1
3218099,1
3214135,1
3178196,2
3178316,1
3093958,1
3214105,1
3492212,1
3354793,1
3492555,1
3524883,1
3178341,1
3670306,2
3179261,1
3492469,1
5673416,1
3492039,1
3213275,1
3285164,1
3524847,1
3199015,1
3179311,1
3530215,1
3530150,1
3179306,1
3475207,1
3475330,2
3530348,2
3205989,1
3093829,1
3213265,2
3179573,1
3604996,9
3213358,1
3491251,1
3615956,2
3932351,7
3154565,1
3932343,7
3198483,1
3491242,2
3192253,2
3199011,1
3491432,1
3192404,1
3475184,1
3214359,1
3200260,1
3214317,1
3352684,1
3475335,1
3491548,1
3206152,1
3198883,1
3492056,1
3240397,1
3472777,2
3218223,1
3493613,1
3530148,1
3213787,1
3213148,1
3199036,1
3154771,2
3175713,1
3213063,1
3530264,1
3178467,1
3301476,2
3494160,1
3206236,1
3154642,1
3492336,1
3214111,1
3175616,1
3179238,1
3213411,1
3179576,1
3620896,1
3200448,1
3206308,1
3179189,1
3670196,2
3492516,2
3494044,1
3218207,1
3475279,1
3240347,1
3154451,1
3493710,4
3178301,1
3154564,1
3472845,1
3571887,4
3213069,1
3213215,1
3472837,1
3268780,4
3494005,1
3475284,1
3093758,1
3472755,1
3567788,1
3154645,1
3213314,1
3218089,1
3206036,1
3213357,1
3395752,2
3475127,1
3491518,2
3301547,5
3408058,2
3192191,1
3206175,1
3178522,1
3297332,1
3176081,1
3524958,1
3093905,1
3494015,1
3555590,1
3198932,2
3494122,1
3524944,1
3179326,1
3214089,1
3218483,2
3218290,1
3214058,4
3176126,1
3213227,1
3200233,1
3472932,1
3094044,1
3192134,1
3192086,2
3213990,1
1167143,1
3281067,3
3492435,1
3094062,1
3213436,1
3192096,1
3179548,1
3192397,1
3093810,2
3214157,1
3492217,1
5609356,1
3492522,1
3604652,7
3493785,3
3494155,1
3530237,1
3178240,2
3491462,1
3175670,1
3199070,1
3213179,1
3670203,2
3571884,1
3475610,1
3492349,1
3192212,1
3472812,1
3176006,1
3530269,1
3179064,1
3218292,1
3492447,1
3205951,1
3175949,1
3297452,3
3198731,1
