icom,13,0,0,0,0,0,13
yeastar,13,0,0,0,0,0,13
movistar,12,0,0,3,0,0,9
lenovo,12,0,0,0,0,0,12
aredn,12,0,0,11,0,0,1
asrock,12,0,0,0,0,0,12
att,12,0,0,0,0,0,12
ultra magicard,12,0,0,0,0,0,12
winytechnology,12,0,1,0,0,0,11
emerson,11,0,0,0,0,7,4
western digital,11,0,0,0,0,0,11
dji,11,0,0,0,0,0,11
px4,11,0,0,0,0,0,11
mobotix,11,0,0,0,0,0,11
sohoware,10,0,0,0,4,1,5
archos,10,0,0,0,0,0,10
vtech,10,0,0,0,0,0,10
securifi,10,0,1,4,0,0,5
tarifa,10,0,0,10,0,0,0
other soundcards,10,0,0,0,0,0,10
weigl works,10,0,0,0,0,0,10
geniatech,10,0,0,0,0,0,10
gigabyte,10,0,0,0,0,0,10
sitecom,9,0,0,0,0,0,9
brother,9,0,0,0,0,0,9
wolfvision,9,0,0,0,0,0,9
silicon power,9,0,0,0,0,0,9
walkera,9,0,0,0,0,0,9
xiaoyi,9,0,0,0,0,0,9
thecus,9,0,0,0,0,0,9
mvix,9,0,0,0,0,0,9
strymon,9,0,0,0,0,0,9
tc electronic,9,0,0,0,0,0,9
zte,9,0,1,0,0,0,8
optiarc,9,0,0,0,0,0,9
teledyne lecroy,8,0,0,0,0,0,8
polycom,8,0,0,0,0,1,7
thinkware,8,0,0,0,0,0,8
jvc,8,0,0,0,0,0,8
blacksys,8,0,0,0,0,0,8
hisilicon,8,0,0,0,0,0,8
olympus,7,0,0,0,0,0,7
victron energy,7,0,0,0,0,0,7
digicom,7,0,0,2,0,0,5
abicom,7,0,0,7,0,0,0
nuuo,7,0,0,0,0,0,7
prusa,7,0,0,0,0,0,7
pyle ip,7,0,0,0,0,0,7
xiro,7,0,0,0,0,0,7
snom,7,0,0,2,0,0,5
pentax,7,0,0,0,0,0,7
hackhd,6,0,0,0,0,0,6
tacx,6,0,0,0,0,0,6
kilpatrick audio,6,0,0,0,0,0,6
yealink,6,0,0,0,0,0,6
lsi,6,0,0,0,0,0,6
kt&c,6,0,0,0,0,0,6
other network cards,6,0,0,0,0,0,6
sierra wireless,6,0,0,0,0,0,6
rexing,6,0,0,0,0,0,6
yuneec,6,0,0,0,0,0,6
nxp,6,0,0,0,0,0,6
trinamic,6,0,0,0,0,0,6
contour,6,0,0,0,0,0,6
dlink,5,0,0,0,0,0,5
biamp,5,0,0,0,0,0,5
numark,5,0,0,0,0,0,5
realtek,5,0,0,1,0,0,4
allen & heath,5,0,0,0,0,0,5
wificloudnet,5,0,0,5,0,0,0
lilin,5,0,4,0,0,0,1
focusrite,5,0,0,0,0,0,5
openboox,5,0,0,0,0,0,5
cuddeback,5,0,0,0,0,0,5
icarus reader,5,0,0,0,0,0,5
via,5,0,0,0,0,0,5
teledyne dalsa,4,0,0,0,0,0,4
provision-isr,4,0,0,0,0,0,4
libratone,4,0,0,0,0,0,4
ossw,4,0,0,0,0,0,4
psiber,4,0,0,0,0,0,4
national instruments,4,0,0,0,0,0,4
serioux,4,0,0,0,0,0,4
timex,4,0,0,0,0,0,4
renesas,4,0,0,0,0,0,4
airlink101,4,0,0,1,0,0,3
trekstor,4,0,0,0,0,0,4
futaba,4,0,0,0,0,0,4
digium,4,0,0,0,0,0,4
veex,4,0,3,0,0,0,1
testo,4,0,0,0,0,0,4
ucam247,4,0,0,0,0,0,4
magnavox,4,0,0,0,0,0,4
silhouette,4,0,0,0,0,0,4
acer,4,0,0,0,0,0,4
keysight,4,0,0,0,0,0,4
tandberg data,4,0,0,0,0,0,4
marvell,4,0,0,0,0,0,4
sk hynix,3,0,0,0,0,0,3
broadcom,3,0,0,0,0,0,3
thalmic labs,3,0,0,0,0,0,3
server technology,3,0,0,0,0,0,3
alesis,3,0,0,0,0,0,3
amcrest,3,0,0,0,0,0,3
zalman,3,0,0,0,0,0,3
synthino,3,0,0,0,0,0,3
goclever,3,0,0,0,0,0,3
hama,3,0,0,0,0,0,3
lorex,3,0,0,0,0,0,3
shure,3,0,0,0,0,0,3
zxtech,3,0,3,0,0,0,0
open wireless,3,0,0,0,0,0,3
pctv systems,3,0,0,0,0,0,3
devolo,3,0,0,1,0,0,2
via labs,3,0,0,0,0,0,3
smart tech,3,0,0,0,0,0,3
lgmod,2,0,0,0,0,0,2
