VERSION,COUNT
4.4.61,221
4.14.167,690
3.18.23,202
4.4.42,221
4.4.153,223
4.4.89,224
4.4.50,221
4.14.131,238
4.14.162,691
4.4.182,222
4.14.63,239
4.4.47,221
4.14.128,237
4.4.71,220
4.4.14,204
4.14.54,238
4.14.151,238
4.4.140,223
3.10.49,98
4.4.92,223
3.18.20,201
4.14.95,24
,423
